 
# QPROP Version 1.22
# 
# Helice24x15                                                                     
# 
# Speed-400 3321 (6V) direct drive                                                
#   0.48000E-01  motor parameter 1 ,  R  (Ohms) 
#    1.3000      motor parameter 2 ,  Io (Amps) 
#    190.00      motor parameter 3 ,  Kv (rpm/Vo
# 
#   rho =  1.2250     kg/m^3
#   mu  = 0.17800E-04 kg/m-s
#   a   =  340.00     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
  -12.000   2000.      4.000   48.25       2.091       437.9      12.586   42.9015   0.8110  -1.3221  -0.00019  0.6848E-13  0.9819E-17  24.0000  -1.0723   539.9      -579.0       1.4645  0.1607    
  -11.000   2000.      4.000   48.31       2.116       443.2      12.610   43.4070   0.8098  -1.1990  -0.00017  0.6858E-13  0.9938E-17  22.0000  -0.9709   547.4      -531.5       1.4665  0.1550    
  -10.000   2000.      4.000   48.39       2.145       449.2      12.637   43.9743   0.8083  -1.0772  -0.00016  0.6868E-13  0.1007E-16  20.0000  -0.8708   555.7      -483.9       1.4686  0.1490    
   -9.000   2000.      4.000   48.45       2.176       455.7      12.667   44.5926   0.8068  -0.9569  -0.00014  0.6877E-13  0.1022E-16  18.0000  -0.7720   564.8      -436.1       1.4711  0.1418    
   -8.000   2000.      4.000   48.55       2.212       463.3      12.701   45.3148   0.8050  -0.8384  -0.00013  0.6892E-13  0.1039E-16  16.0000  -0.6749   575.6      -388.4       1.4733  0.1353    
   -7.000   2000.      4.000   48.67       2.253       471.9      12.740   46.1275   0.8029  -0.7219  -0.00011  0.6908E-13  0.1058E-16  14.0000  -0.5797   587.7      -340.7       1.4755  0.1285    
   -6.000   2000.      4.000   48.79       2.299       481.5      12.784   47.0432   0.8006  -0.6080  -0.00009  0.6926E-13  0.1080E-16  12.0000  -0.4868   601.4      -292.8       1.4779  0.1213    
   -5.000   2000.      4.000   48.93       2.351       492.4      12.834   48.0754   0.7980  -0.4969  -0.00008  0.6945E-13  0.1104E-16  10.0000  -0.3965   617.0      -244.7       1.4803  0.1139    
   -4.000   2000.      4.000   49.09       2.409       504.6      12.890   49.2392   0.7951  -0.3891  -0.00006  0.6968E-13  0.1131E-16   8.0000  -0.3094   634.7      -196.4       1.4827  0.1063    
   -3.000   2000.      4.000   49.26       2.475       518.4      12.953   50.5510   0.7918  -0.2850  -0.00005  0.6992E-13  0.1162E-16   6.0000  -0.2257   654.8      -147.8       1.4852  0.9855E-01
   -2.000   2000.      4.000   49.45       2.550       534.0      13.024   52.0284   0.7880  -0.1852  -0.00003  0.7019E-13  0.1197E-16   4.0001  -0.1460   677.6      -98.90       1.4876  0.9070E-01
   -1.000   2000.      4.000   49.66       2.633       551.5      13.103   53.6896   0.7839  -0.0900  -0.00002  0.7048E-13  0.1236E-16   2.0001  -0.0706   703.5      -49.66       1.4899  0.8289E-01
    0.000   2000.      4.000   49.88       2.727       571.1      13.193   55.5536   0.7792   0.0000   0.00000  0.7080E-13  0.1280E-16   0.0168   0.0000   732.9       0.000       1.4922  0.7525E-01
    1.000   2000.      4.000   50.12       2.832       593.0      13.293   57.6392   0.7740   0.0845   0.00002  0.7114E-13  0.1330E-16   0.0001   0.0654   766.2       50.12       1.4942  0.6792E-01
    2.000   2000.      4.000   50.28       2.877       602.6      13.337   58.5496   0.7718   0.1669   0.00003  0.7136E-13  0.1351E-16   0.0001   0.1288   780.9       100.6       1.4914  0.5408E-01
    3.000   2000.      4.000   49.40       2.884       604.0      13.343   58.6826   0.7714   0.2453   0.00005  0.7012E-13  0.1354E-16   0.0000   0.1893   783.0       148.2       1.4564  0.4357E-01
    4.000   2000.      4.000   47.93       2.879       603.1      13.339   58.5915   0.7716   0.3179   0.00006  0.6804E-13  0.1352E-16   0.0000   0.2453   781.5       191.7       1.4034  0.3719E-01
    5.000   2000.      4.000   46.14       2.855       598.0      13.315   58.1060   0.7729   0.3858   0.00008  0.6548E-13  0.1341E-16   0.0000   0.2981   773.7       230.7       1.3395  0.3214E-01
    6.000   2000.      4.000   44.09       2.816       589.7      13.278   57.3222   0.7748   0.4486   0.00009  0.6258E-13  0.1322E-16   0.0000   0.3476   761.1       264.5       1.2678  0.2851E-01
    7.000   2000.      4.000   41.78       2.750       575.9      13.215   56.0105   0.7781   0.5079   0.00011  0.5931E-13  0.1291E-16   0.0000   0.3952   740.2       292.5       1.1885  0.2492E-01
    8.000   2000.      4.000   39.32       2.676       560.5      13.145   54.5487   0.7817   0.5613   0.00013  0.5582E-13  0.1257E-16   0.0000   0.4387   717.0       314.6       1.1059  0.2269E-01
    9.000   2000.      4.000   36.74       2.590       542.4      13.062   52.8290   0.7860   0.6097   0.00014  0.5215E-13  0.1216E-16   0.0000   0.4792   690.1       330.7       1.0210  0.2101E-01
   10.000   2000.      4.000   34.04       2.490       521.4      12.966   50.8362   0.7911   0.6529   0.00016  0.4832E-13  0.1169E-16   0.0000   0.5165   659.2       340.4       0.9344  0.2003E-01
   11.000   2000.      4.000   31.24       2.375       497.4      12.857   48.5549   0.7968   0.6908   0.00017  0.4434E-13  0.1115E-16   0.0000   0.5504   624.3       343.6       0.8468  0.1958E-01
   12.000   2000.      4.000   28.31       2.244       470.1      12.732   45.9552   0.8034   0.7226   0.00019  0.4018E-13  0.1054E-16   0.0000   0.5805   585.1       339.7       0.7576  0.1985E-01
   13.000   2000.      4.000   25.24       2.097       439.2      12.592   43.0254   0.8107   0.7471   0.00021  0.3583E-13  0.9848E-17   0.0000   0.6057   541.8       328.1       0.6671  0.2095E-01
   14.000   2000.      4.000   22.04       1.933       404.7      12.434   39.7506   0.8189   0.7625   0.00022  0.3129E-13  0.9075E-17   0.0000   0.6244   494.3       308.6       0.5756  0.2293E-01
   15.000   2000.      4.000   18.73       1.752       366.8      12.262   36.1502   0.8276   0.7658   0.00024  0.2658E-13  0.8225E-17   0.0000   0.6338   443.3       280.9       0.4842  0.2600E-01
   16.000   2000.      4.000   15.29       1.552       325.0      12.071   32.1782   0.8368   0.7528   0.00025  0.2171E-13  0.7288E-17   0.0000   0.6299   388.4       244.7       0.3926  0.2977E-01
   17.000   2000.      4.000   11.72       1.332       279.0      11.861   27.8057   0.8460   0.7140   0.00027  0.1663E-13  0.6256E-17   0.0000   0.6040   329.8       199.2       0.3007  0.3442E-01
   18.000   2000.      4.000   8.000       1.101       230.6      11.640   23.2061   0.8536   0.6245   0.00028  0.1135E-13  0.5170E-17   0.0000   0.5331   270.1       144.0       0.2105  0.4176E-01
   19.000   2000.      4.000   4.576      0.9009       188.7      11.449   19.2251   0.8572   0.4607   0.00030  0.6495E-14  0.4231E-17   0.0000   0.3950   220.1       86.94       0.1338  0.5156E-01
   20.000   2000.      4.000   1.643      0.7586       158.9      11.313   16.3928   0.8567   0.2068   0.00032  0.2332E-14  0.3562E-17   0.0000   0.1772   185.5       32.86       0.0738  0.6373E-01

