 
# QPROP Version 1.22
# 
# Helice                                                                          
# 
# Speed-400 3321 (6V) direct drive                                                
#   0.48000E-01  motor parameter 1 ,  R  (Ohms) 
#    1.3000      motor parameter 2 ,  Io (Amps) 
#    190.00      motor parameter 3 ,  Kv (rpm/Vo
# 
#   rho =  1.2250     kg/m^3
#   mu  = 0.17800E-04 kg/m-s
#   a   =  340.00     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
#  12.000   2514.      0.000   49.86       3.507       923.3      16.643   71.0810   0.7805   0.6480   0.14356  0.3679E-01  0.8151E-02   8.0258   0.5057   1183.       598.3       0.9011  0.1535E-01
# 
#  radius   chord   beta      Cl       Cd       Re    Mach     effi     effp    Wa(m/s)     Aswirl      adv_wake
   0.0686  0.0537  53.591   1.1944  0.05407    78513  0.063   0.6656   0.9134   15.02       11.35      0.2157    
   0.0787  0.0579  48.461   1.1445  0.02286    93710  0.069   0.6620   0.9606   15.47       11.10      0.2169    
   0.0889  0.0600  44.069   1.0655  0.01934   106778  0.076   0.6682   0.9633   15.75       10.35      0.2148    
   0.0991  0.0599  40.394   1.0125  0.01732   116740  0.083   0.6743   0.9642   15.96       9.602      0.2129    
   0.1092  0.0586  37.329   0.9782  0.01613   124077  0.091   0.6794   0.9640   16.11       8.909      0.2113    
   0.1194  0.0568  34.746   0.9541  0.01532   130079  0.098   0.6831   0.9634   16.24       8.305      0.2102    
   0.1295  0.0550  32.544   0.9354  0.01470   135511  0.105   0.6854   0.9625   16.36       7.791      0.2095    
   0.1397  0.0531  30.652   0.9219  0.01424   140212  0.113   0.6867   0.9614   16.47       7.343      0.2091    
   0.1499  0.0511  29.004   0.9123  0.01391   144004  0.120   0.6877   0.9602   16.56       6.941      0.2088    
   0.1600  0.0491  27.560   0.9062  0.01368   146979  0.128   0.6884   0.9588   16.64       6.579      0.2085    
   0.1702  0.0471  26.289   0.9025  0.01351   149345  0.136   0.6888   0.9573   16.71       6.255      0.2084    
   0.1803  0.0451  25.158   0.9004  0.01340   151212  0.143   0.6890   0.9558   16.77       5.962      0.2084    
   0.1905  0.0432  24.138   0.8989  0.01332   152552  0.151   0.6891   0.9541   16.83       5.692      0.2083    
   0.2007  0.0413  23.209   0.8978  0.01327   153332  0.159   0.6893   0.9524   16.88       5.441      0.2083    
   0.2108  0.0395  22.383   0.8986  0.01327   153560  0.166   0.6892   0.9506   16.93       5.216      0.2083    
   0.2210  0.0376  21.678   0.9033  0.01335   153245  0.174   0.6884   0.9488   16.98       5.026      0.2086    
   0.2311  0.0358  21.039   0.9086  0.01347   152191  0.182   0.6875   0.9468   17.04       4.850      0.2088    
   0.2413  0.0338  20.335   0.9056  0.01353   149938  0.190   0.6886   0.9445   17.05       4.644      0.2085    
   0.2515  0.0317  19.534   0.8920  0.01351   146150  0.197   0.6923   0.9416   16.99       4.399      0.2074    
   0.2616  0.0295  18.998   0.8948  0.01378   141320  0.205   0.6923   0.9387   17.02       4.242      0.2074    
   0.2718  0.0273  19.142   0.9450  0.01482   136132  0.213   0.6809   0.9365   17.30       4.316      0.2108    
   0.2819  0.0249  19.325   0.9959  0.01620   128222  0.220   0.6691   0.9332   17.61       4.399      0.2146    
   0.2921  0.0209  17.849   0.9220  0.01596   111583  0.228   0.6881   0.9254   17.17       3.908      0.2086    
   0.3023  0.0145  13.261   0.6127  0.01515    80161  0.236   0.7802   0.8823   15.26       2.364      0.1840    
   0.3124  0.0055   5.271   0.0054  0.04806    31355  0.244   0.9982  -0.0048   12.02      0.1465E-01  0.1438    
