sunnysky

 1.00000     0.00453
 0.99096     0.00658
 0.97206     0.01101
 0.94900     0.01656
 0.92481     0.02243
 0.90076     0.02813
 0.87681     0.03355
 0.85272     0.03877
 0.82847     0.04383
 0.80422     0.04871
 0.78008     0.05336
 0.75605     0.05774
 0.73201     0.06181
 0.70781     0.06564
 0.68342     0.06926
 0.65893     0.07271
 0.63455     0.07595
 0.61032     0.07892
 0.58616     0.08157
 0.56187     0.08393
 0.53743     0.08605
 0.51301     0.08795
 0.48883     0.08955
 0.46489     0.09077
 0.44096     0.09159
 0.41692     0.09202
 0.39280     0.09211
 0.36878     0.09186
 0.34494     0.09122
 0.32127     0.09015
 0.29764     0.08861
 0.27397     0.08663
 0.25030     0.08421
 0.22674     0.08139
 0.20341     0.07813
 0.18037     0.07441
 0.15778     0.07021
 0.13578     0.06546
 0.11441     0.06006
 0.09367     0.05395
 0.07366     0.04711
 0.05484     0.03970
 0.03855     0.03233
 0.02605     0.02577
 0.01737     0.02054
 0.01156     0.01628
 0.00756     0.01249
 0.00479     0.00897
 0.00295     0.00568
 0.00188     0.00261
 0.00153    -0.00026
 0.00192    -0.00300
 0.00299    -0.00554
 0.00473    -0.00768
 0.00725    -0.00909
 0.01079    -0.00971
 0.01565    -0.00989
 0.02198    -0.01003
 0.03109    -0.00970
 0.04543    -0.00900
 0.06552    -0.00771
 0.08839    -0.00649
 0.11204    -0.00535
 0.13580    -0.00370
 0.16036    -0.00167
 0.18534     0.00047
 0.21016     0.00249
 0.23512     0.00436
 0.26026     0.00619
 0.28539     0.00810
 0.31047     0.01000
 0.33526     0.01177
 0.35998     0.01334
 0.38478     0.01473
 0.40974     0.01598
 0.43491     0.01714
 0.46016     0.01829
 0.48511     0.01936
 0.50969     0.02023
 0.53421     0.02082
 0.55901     0.02119
 0.58411     0.02145
 0.60918     0.02165
 0.63391     0.02172
 0.65830     0.02154
 0.68263     0.02103
 0.70725     0.02025
 0.73225     0.01928
 0.75743     0.01826
 0.78244     0.01717
 0.80723     0.01594
 0.83190     0.01453
 0.85658     0.01291
 0.88126     0.01111
 0.90579     0.00913
 0.92988     0.00697
 0.95279     0.00454
 0.97373     0.00170
 0.99115    -0.00132
 1.00000    -0.00314
